254     12      1      OCT    2015
      1  99999   2836  67.37N 26.65E   178   1130
      2    300   1690    527     90  99999      3
      3          EFSO                99999     ms
      9   9810    178     86     26    270     20
      4  10000     19  99999  99999  99999  99999
      4   9250    661     30      1    295     41
      5   8760   1097     -9    -20    325     56
      6   8670   1179  99999  99999    325     56
      4   8500   1339    -23    -49    315     72
      5   8080   1738    -47   -107  99999  99999
      6   8000   1815  99999  99999    315     92
      6   7710   2101  99999  99999    305    102
      5   7570   2245    -87   -115  99999  99999
      6   7250   2579  99999  99999    320    123
      5   7240   2588   -105   -146  99999  99999
      4   7000   2852   -125   -163    310    133
      6   6920   2936  99999  99999    305    133
      6   6470   3429  99999  99999    310    144
      6   6000   3982  99999  99999    310    138
      5   5700   4379   -247   -278  99999  99999
      6   5490   4648  99999  99999    310     92
      5   5230   4996   -303   -303  99999  99999
      5   5120   5146   -313   -314  99999  99999
      6   5060   5232  99999  99999    300    164
      5   5050   5243   -313   -403  99999  99999
      4   5000   5320   -315   -405    305    164
      6   4540   5990  99999  99999    305    138
      5   4130   6646   -397   -597  99999  99999
      5   4010   6846   -409   -539  99999  99999
      4   4000   6870   -411   -541    280     92
      6   3930   6987  99999  99999    280     87
      5   3800   7215   -441   -551  99999  99999
      5   3630   7520   -465   -635  99999  99999
      6   3330   8090  99999  99999    305    149
      7   3270   8208   -485   -665    305    154
      4   3000   8780   -473   -733    300    200
      5   2820   9188   -471   -761  99999  99999
      6   2660   9576  99999  99999    310    283
      4   2500   9990   -453   -813    305    267
      5   2150  10994   -449   -829  99999  99999
      4   2000  11480   -455   -825    305    252
      6   1690  12598  99999  99999    295    262
      6   1630  12838  99999  99999    310    241
      4   1500  13390   -469   -839    300    226
      6   1480  13478  99999  99999    295    211
      6   1420  13751  99999  99999    305    272
      5   1320  14238   -453   -823  99999  99999
      6   1230  14703  99999  99999    290    185
      6   1070  15623  99999  99999    315    221
      4   1000  16070   -503   -863    300    226
      6    942  16460  99999  99999    310    180
      6    804  17494  99999  99999    290    180
      6    769  17785  99999  99999    295    133
      6    748  17966  99999  99999    305    149
      6    710  18307  99999  99999    295    164
      4    700  18400   -509   -859    300    154
      6    683  18558  99999  99999    315    144
