 254     12      1      OCT    2016
      1  99999   2836  67.37N 26.65E   178   1130
      2    200   7000   2930    110  99999      0
      3          EFSO                99999     ms
      9   9650    178     86     50    220     41
      4  10000   -116  99999  99999  99999  99999
      5   9620    203  99999  99999    240     51
      5   9290    491  99999  99999    250     82
      4   9250    527     44     26    250     87
      5   9210    562     42     26  99999  99999
      5   8850    885  99999  99999    290    103
      4   8500   1212     14     -8    280    113
      5   8450   1259     12    -11  99999  99999
      5   8290   1410  99999  99999    270    134
      5   7730   1966    -39    -39  99999  99999
      5   7560   2141  99999  99999    290    159
      5   7280   2438  99999  99999    300    139
      4   7000   2748    -85    -95    295    144
      5   6550   3258   -117   -130  99999  99999
      4   5000   5270   -269   -271    290    108
      5   4960   5326  99999  99999    290    108
      5   4940   5357   -277   -279  99999  99999
      5   4720   5679  99999  99999    310    139
      5   4570   5912   -303   -351  99999  99999
      5   4420   6148   -319   -399  99999  99999
      5   4070   6723   -369   -459  99999  99999
      4   4000   6850   -379   -469    300    134
      5   3740   7293  99999  99999    300    134
      5   3250   8238   -505   -526  99999  99999
      5   3220   8297  99999  99999    330    113
      5   3080   8585   -535   -579  99999  99999
      4   3000   8750   -553   -592    335    118
      7   2930   8900   -565   -600    335    113
      5   2860   9056  99999  99999    340    118
      5   2820   9142   -565   -587  99999  99999
      5   2770   9257  99999  99999    320    118
      5   2750   9301   -555   -685  99999  99999
      5   2700   9420  99999  99999    320     77
      5   2660   9516  99999  99999    300     67
      4   2500   9920   -507   -757    290     72
      5   2480   9972  99999  99999    295     72
      5   2420  10133  99999  99999    275     72
      5   2360  10298  99999  99999    295     82
      5   2340  10353   -473   -803  99999  99999
      5   2300  10466  99999  99999    245     57
      5   2140  10942  99999  99999    280     93
      5   2090  11099   -469   -829  99999  99999
      5   2060  11194  99999  99999    270     57
      4   2000  11390   -475   -825    285     72
      5   1980  11456  99999  99999    285     62
      5   1940  11591  99999  99999    260     67
      5   1890  11764  99999  99999    255     87
      5   1800  12088  99999  99999    295     82
      5   1590  12912  99999  99999    230     93
      5   1540  13124  99999  99999    250     93
      5   1510  13255  99999  99999    240     77
      4   1500  13300   -477   -837    245     77
      5   1430  13614  99999  99999    260     57
      5   1330  14091  99999  99999    240     41
      5   1180  14879  99999  99999    225    113
      5   1140  15106  99999  99999    235    123
      5   1090  15401  99999  99999    250    113
      5   1050  15647  99999  99999    285     87
      4   1000  15970   -493   -853    305     31
      5    951  16298  99999  99999    185     62
      5    935  16408  99999  99999    185     72
      5    870  16878  99999  99999    235    118
      5    832  17170  99999  99999    235    154
      5    733  17998  99999  99999    270     67
      5    714  18170  99999  99999    290     57
      4    700  18300   -525   -875    270     31
      5    678  18504  99999  99999    240     51
      5    641  18864  99999  99999    250    129
      5    621  19067  99999  99999    260     98
      5    564  19685  99999  99999    265     77
      5    532  20060  99999  99999    235     67
      5    512  20307  99999  99999    245     67
      4    500  20460   -565   -895    235     67
      5    488  20614  99999  99999    230     77
      5    474  20798  99999  99999    255     67
      5    466  20905  99999  99999    245     57
      5    457  21028  99999  99999    235     62
      5    454  21069   -573   -903  99999  99999
      5    446  21181  99999  99999    250     72
      5    431  21398  99999  99999    245     93
      5    409  21730  99999  99999    290    118
      5    395  21951  99999  99999    295    134
      5    381  22180  99999  99999    300     87
      5    368  22400  99999  99999    270     36
      5    363  22487  99999  99999    265     51
      5    354  22646  99999  99999    255     62
      5    346  22791  99999  99999    280     51
      5    340  22898   -557   -897  99999  99999
      5    328  23128  99999  99999    255     57
      5    313  23428  99999  99999    280     57
      5    305  23594  99999  99999    265     62
      5    302  23647   -579   -909  99999  99999
      4    300  23700   -573   -923    265     62
      5    288  23959  99999  99999    260     51
      5    282  24093  99999  99999    275     51
      5    258  24659  99999  99999    195     51
      5    252  24808  99999  99999    260     77
      5    242  25065  99999  99999    285     87
      5    236  25226  99999  99999    280     93
      5    230  25389  99999  99999    305     93
      5    221  25643  99999  99999    330     51
      5    208  26029  99999  99999    220     51
      5    202  26216  99999  99999    260     67
      4    200  26280   -545   -885    265     72
      5    181  26918   -539   -889    305     72
    254      0      2      OCT    2016
      1  99999   2836  67.37N 26.65E   178   2330
      2    200    319    559    115  99999      0
      3          EFSO                99999     ms
      9   9760    178     52     30    250     26
      4  10000    -19  99999  99999  99999  99999
      5   9540    364     58     12  99999  99999
      5   9400    483  99999  99999    290    139
      4   9250    614     46     -2    300    129
      5   9030    809  99999  99999    310     98
      5   8980    854     44    -26  99999  99999
      5   8660   1149  99999  99999    305    103
      4   8500   1301     12    -38    295     82
      5   8380   1413  99999  99999    285     77
      5   8240   1545  99999  99999    270     93
      5   8170   1617     -3    -83  99999  99999
      4   7000   2832   -101   -114    275    123
      5   6700   3167   -123   -139  99999  99999
      5   6650   3224   -121   -171  99999  99999
      5   6540   3347  99999  99999    270    113
      5   6430   3472  99999  99999    285    118
      5   6070   3899  99999  99999    270    113
      5   5770   4286   -219   -222  99999  99999
      5   5710   4363   -211   -234  99999  99999
      5   5680   4401  99999  99999    295    123
      5   5650   4441   -209   -269  99999  99999
      5   5370   4815   -219   -359  99999  99999
      5   5230   5009  99999  99999    270     82
      4   5000   5340   -267   -367    275     98
      5   4760   5688  99999  99999    295    103
      5   4680   5812   -307   -397  99999  99999
